document_id,loan_id,applicant_reference,document_type,file_name,verification_status,source,contains_real_pii
DOC0001_PAYSLIP,1,APPLICANT-0001,Payslip,loan_1/payslip_1.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0001_BANK_STATEMENT,1,APPLICANT-0001,Bank Statement,loan_1/bank_statement_1.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0001_TAX_RETURN,1,APPLICANT-0001,Tax Return,loan_1/tax_return_1.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0001_KYC,1,APPLICANT-0001,KYC,loan_1/kyc_1.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0002_PAYSLIP,2,APPLICANT-0002,Payslip,loan_2/payslip_2.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0002_BANK_STATEMENT,2,APPLICANT-0002,Bank Statement,loan_2/bank_statement_2.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0002_TAX_RETURN,2,APPLICANT-0002,Tax Return,loan_2/tax_return_2.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0002_KYC,2,APPLICANT-0002,KYC,loan_2/kyc_2.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0003_PAYSLIP,3,APPLICANT-0003,Payslip,loan_3/payslip_3.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0003_BANK_STATEMENT,3,APPLICANT-0003,Bank Statement,loan_3/bank_statement_3.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0003_TAX_RETURN,3,APPLICANT-0003,Tax Return,loan_3/tax_return_3.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0003_KYC,3,APPLICANT-0003,KYC,loan_3/kyc_3.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0004_PAYSLIP,4,APPLICANT-0004,Payslip,loan_4/payslip_4.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0004_BANK_STATEMENT,4,APPLICANT-0004,Bank Statement,loan_4/bank_statement_4.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0004_TAX_RETURN,4,APPLICANT-0004,Tax Return,loan_4/tax_return_4.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0004_KYC,4,APPLICANT-0004,KYC,loan_4/kyc_4.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0005_PAYSLIP,5,APPLICANT-0005,Payslip,loan_5/payslip_5.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0005_BANK_STATEMENT,5,APPLICANT-0005,Bank Statement,loan_5/bank_statement_5.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0005_TAX_RETURN,5,APPLICANT-0005,Tax Return,loan_5/tax_return_5.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0005_KYC,5,APPLICANT-0005,KYC,loan_5/kyc_5.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0006_PAYSLIP,6,APPLICANT-0006,Payslip,loan_6/payslip_6.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0006_BANK_STATEMENT,6,APPLICANT-0006,Bank Statement,loan_6/bank_statement_6.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0006_TAX_RETURN,6,APPLICANT-0006,Tax Return,loan_6/tax_return_6.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0006_KYC,6,APPLICANT-0006,KYC,loan_6/kyc_6.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0007_PAYSLIP,7,APPLICANT-0007,Payslip,loan_7/payslip_7.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0007_BANK_STATEMENT,7,APPLICANT-0007,Bank Statement,loan_7/bank_statement_7.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0007_TAX_RETURN,7,APPLICANT-0007,Tax Return,loan_7/tax_return_7.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0007_KYC,7,APPLICANT-0007,KYC,loan_7/kyc_7.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0008_PAYSLIP,8,APPLICANT-0008,Payslip,loan_8/payslip_8.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0008_BANK_STATEMENT,8,APPLICANT-0008,Bank Statement,loan_8/bank_statement_8.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0008_TAX_RETURN,8,APPLICANT-0008,Tax Return,loan_8/tax_return_8.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0008_KYC,8,APPLICANT-0008,KYC,loan_8/kyc_8.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0009_PAYSLIP,9,APPLICANT-0009,Payslip,loan_9/payslip_9.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0009_BANK_STATEMENT,9,APPLICANT-0009,Bank Statement,loan_9/bank_statement_9.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0009_TAX_RETURN,9,APPLICANT-0009,Tax Return,loan_9/tax_return_9.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0009_KYC,9,APPLICANT-0009,KYC,loan_9/kyc_9.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0010_PAYSLIP,10,APPLICANT-0010,Payslip,loan_10/payslip_10.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0010_BANK_STATEMENT,10,APPLICANT-0010,Bank Statement,loan_10/bank_statement_10.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0010_TAX_RETURN,10,APPLICANT-0010,Tax Return,loan_10/tax_return_10.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0010_KYC,10,APPLICANT-0010,KYC,loan_10/kyc_10.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0011_PAYSLIP,11,APPLICANT-0011,Payslip,loan_11/payslip_11.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0011_BANK_STATEMENT,11,APPLICANT-0011,Bank Statement,loan_11/bank_statement_11.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0011_TAX_RETURN,11,APPLICANT-0011,Tax Return,loan_11/tax_return_11.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0011_KYC,11,APPLICANT-0011,KYC,loan_11/kyc_11.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0012_PAYSLIP,12,APPLICANT-0012,Payslip,loan_12/payslip_12.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0012_BANK_STATEMENT,12,APPLICANT-0012,Bank Statement,loan_12/bank_statement_12.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0012_TAX_RETURN,12,APPLICANT-0012,Tax Return,loan_12/tax_return_12.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0012_KYC,12,APPLICANT-0012,KYC,loan_12/kyc_12.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0013_PAYSLIP,13,APPLICANT-0013,Payslip,loan_13/payslip_13.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0013_BANK_STATEMENT,13,APPLICANT-0013,Bank Statement,loan_13/bank_statement_13.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0013_TAX_RETURN,13,APPLICANT-0013,Tax Return,loan_13/tax_return_13.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0013_KYC,13,APPLICANT-0013,KYC,loan_13/kyc_13.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0014_PAYSLIP,14,APPLICANT-0014,Payslip,loan_14/payslip_14.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0014_BANK_STATEMENT,14,APPLICANT-0014,Bank Statement,loan_14/bank_statement_14.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0014_TAX_RETURN,14,APPLICANT-0014,Tax Return,loan_14/tax_return_14.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0014_KYC,14,APPLICANT-0014,KYC,loan_14/kyc_14.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0015_PAYSLIP,15,APPLICANT-0015,Payslip,loan_15/payslip_15.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0015_BANK_STATEMENT,15,APPLICANT-0015,Bank Statement,loan_15/bank_statement_15.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0015_TAX_RETURN,15,APPLICANT-0015,Tax Return,loan_15/tax_return_15.pdf,Synthetic - Not Verified,Generated synthetic test document,False
DOC0015_KYC,15,APPLICANT-0015,KYC,loan_15/kyc_15.pdf,Synthetic - Not Verified,Generated synthetic test document,False
